service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
269.0.1,1,1,1,1,1,0,0,20241028,20250110
269.0.2,0,0,0,0,0,1,0,20241102,20250111
269.0.3,0,0,0,0,0,0,1,20241103,20250112
269.100.1,1,1,0,1,0,0,0,20241028,20250109
269.102.1,1,0,1,0,1,0,0,20241028,20250110
269.103.1,0,1,0,1,0,0,0,20241029,20250109
269.108.1,0,1,0,1,0,0,0,20241029,20250109
269.109.1,1,0,1,0,1,0,0,20241028,20250110
269.1175.1,1,0,0,0,0,0,0,20241028,20250106
269.121.1,0,0,1,0,1,0,0,20241030,20250110
269.131.1,1,1,1,1,1,0,0,20241028,20250110
269.1421.3,1,1,1,1,1,1,1,20241128,20241128
269.1422.1,1,1,1,1,1,0,0,20241028,20250110
269.1423.1,1,1,1,1,1,1,1,20241231,20241231
269.150.1,0,1,1,1,1,0,0,20241029,20250110
269.152.1,0,0,1,0,1,0,0,20241030,20250110
269.1545.1,1,1,0,1,0,0,0,20241028,20250109
269.155.1,0,0,1,0,1,0,0,20241030,20250110
269.1566.1,0,1,1,1,1,0,0,20241029,20250110
269.1567.1,1,1,1,1,0,0,0,20241028,20241205
269.157.1,0,0,1,0,1,0,0,20241030,20250110
269.159.1,1,1,1,1,1,0,0,20241028,20250110
269.160.1,0,0,0,0,1,0,0,20241111,20250103
269.161.1,0,0,1,0,1,0,0,20241030,20250110
269.1657.1,1,0,0,1,0,0,0,20241212,20241230
269.1657.2,1,1,1,1,1,1,1,20250111,20250111
269.1657.3,1,1,1,1,1,1,1,20250112,20250112
269.171.1,1,1,1,1,1,0,0,20241028,20250110
269.173.1,1,1,0,1,0,0,0,20241028,20250109
269.176.1,1,0,0,0,0,0,0,20241028,20250106
269.177.1,0,1,1,1,1,0,0,20241029,20250110
269.178.1,1,1,1,1,1,0,0,20241028,20250110
269.179.1,0,0,0,0,1,0,0,20241111,20250103
269.180.1,0,0,1,0,1,0,0,20241030,20250110
269.181.1,1,1,0,1,0,0,0,20241028,20250109
269.182.1,1,1,0,1,0,0,0,20241028,20250109
269.1826.1,1,1,1,0,1,0,0,20241028,20250110
269.1827.1,1,1,0,0,1,0,0,20241028,20250110
269.1828.1,0,0,0,1,0,0,0,20241031,20250109
269.1832.1,0,0,0,1,1,0,0,20241031,20250109
269.1843.1,1,1,1,0,1,0,0,20241028,20250110
269.191.1,1,1,0,1,0,0,0,20241028,20250109
269.1919.1,1,1,1,1,1,0,0,20241028,20250110
269.1921.1,1,0,1,0,1,0,0,20241030,20250110
269.1923.1,1,0,0,0,0,0,0,20241028,20250106
269.1924.1,0,0,0,0,1,0,0,20241111,20250103
269.1926.1,1,1,1,1,1,0,0,20241028,20250110
269.1927.1,1,0,0,0,1,0,0,20241111,20250106
269.193.1,0,0,1,0,1,0,0,20241030,20250110
269.2050.1,1,1,0,1,1,0,0,20241101,20250110
269.2068.1,1,1,1,1,1,0,0,20241028,20250110
269.2069.1,1,1,1,1,1,0,0,20241028,20250110
269.2070.1,1,1,0,1,0,0,0,20241028,20250109
269.2071.1,1,0,0,0,0,0,0,20241028,20241209
269.2075.1,1,1,1,1,1,0,0,20241028,20250110
269.2082.1,1,1,1,1,1,0,0,20241028,20250110
269.2093.1,1,1,1,1,1,0,0,20241029,20250110
269.2152.1,0,0,1,0,1,0,0,20241030,20250110
269.2153.1,1,1,0,1,0,0,0,20241028,20250109
269.2179.1,1,0,0,0,0,0,0,20241111,20250106
269.2321.1,1,0,0,0,0,0,0,20241111,20250106
269.2348.1,1,1,1,1,1,0,0,20241028,20250110
269.2349.1,1,1,1,1,1,0,0,20241028,20250110
269.2491.1,0,0,0,1,0,0,0,20241031,20250109
269.2561.1,0,0,1,0,0,0,0,20241030,20250108
269.2562.1,1,1,0,1,1,0,0,20241028,20250110
269.2735.1,0,0,1,1,1,0,0,20241030,20250109
269.3026.1,1,1,1,0,1,0,0,20241028,20250110
269.327.1,1,1,1,1,1,0,0,20241028,20250110
269.408.2,1,1,1,1,1,1,1,20250111,20250111
269.408.3,0,0,0,0,0,0,1,20241117,20250112
269.41.1,1,1,1,1,0,0,0,20241028,20250109
269.42.1,0,0,0,0,1,0,0,20241101,20250110
269.57.1,0,1,0,1,0,0,0,20241029,20250109
269.58.1,1,0,1,0,1,0,0,20241028,20250110
269.59.1,0,0,1,0,1,0,0,20241030,20250110
269.62.1,0,0,1,0,1,0,0,20241030,20250110
269.64.1,1,1,1,1,1,0,0,20241028,20250110
269.66.1,0,0,1,0,0,0,0,20241030,20250108
269.745.1,1,0,0,0,0,0,0,20241028,20241209
269.746.1,1,0,0,0,0,0,0,20241028,20241209
269.76.1,1,1,0,1,1,0,0,20241028,20250110
269.79.1,0,1,0,1,0,0,0,20241029,20250109
269.80.1,1,1,0,1,0,0,0,20241028,20250109
269.87.1,0,0,1,0,1,0,0,20241030,20250110
269.88.1,1,1,0,1,0,0,0,20241028,20250109
269.89.1,1,1,0,1,0,0,0,20241028,20250109
269.897.1,0,0,1,0,1,0,0,20241030,20250110
269.901.1,1,1,1,0,1,0,0,20241028,20250110
269.905.1,1,1,0,1,0,0,0,20241028,20250109
269.96.1,0,1,0,1,0,0,0,20241029,20250109
269.98.1,0,0,1,0,1,0,0,20241030,20250110
