service_id,date,exception_type
269.0.1,20241128,2
269.0.1,20241225,2
269.0.1,20250101,2
269.0.3,20241128,1
269.0.3,20241225,1
269.0.3,20250101,1
269.100.1,20241111,2
269.100.1,20241126,2
269.100.1,20241128,2
269.100.1,20241217,2
269.100.1,20241219,2
269.100.1,20241223,2
269.100.1,20241224,2
269.100.1,20241226,2
269.100.1,20241230,2
269.100.1,20241231,2
269.100.1,20250102,2
269.102.1,20241126,1
269.102.1,20241111,2
269.102.1,20241125,2
269.102.1,20241127,2
269.102.1,20241129,2
269.102.1,20241218,2
269.102.1,20241220,2
269.102.1,20241223,2
269.102.1,20241225,2
269.102.1,20241227,2
269.102.1,20241230,2
269.102.1,20250101,2
269.102.1,20250103,2
269.103.1,20241111,1
269.103.1,20241125,1
269.103.1,20241127,1
269.103.1,20241129,1
269.103.1,20241218,1
269.103.1,20241220,1
269.103.1,20241223,1
269.103.1,20241227,1
269.103.1,20241230,1
269.103.1,20250103,1
269.103.1,20241126,2
269.103.1,20241128,2
269.108.1,20241125,1
269.108.1,20241126,2
269.108.1,20241128,2
269.108.1,20241217,2
269.108.1,20241219,2
269.108.1,20241224,2
269.108.1,20241226,2
269.108.1,20241231,2
269.108.1,20250102,2
269.109.1,20241126,1
269.109.1,20241217,1
269.109.1,20241219,1
269.109.1,20241224,1
269.109.1,20241226,1
269.109.1,20241231,1
269.109.1,20250102,1
269.109.1,20241125,2
269.109.1,20241225,2
269.109.1,20250101,2
269.1175.1,20241126,1
269.1175.1,20241127,1
269.1175.1,20241129,1
269.1175.1,20241224,1
269.1175.1,20241226,1
269.1175.1,20241227,1
269.1175.1,20241231,1
269.1175.1,20250102,1
269.1175.1,20250103,1
269.1175.1,20241104,2
269.1175.1,20241202,2
269.1175.1,20241209,2
269.1175.1,20241216,2
269.121.1,20241127,2
269.121.1,20241129,2
269.121.1,20241218,2
269.121.1,20241220,2
269.121.1,20241225,2
269.121.1,20241227,2
269.121.1,20250101,2
269.121.1,20250103,2
269.121.1,20250108,2
269.131.1,20241111,2
269.131.1,20241127,2
269.131.1,20241128,2
269.131.1,20241129,2
269.131.1,20241223,2
269.131.1,20241224,2
269.131.1,20241225,2
269.131.1,20241226,2
269.131.1,20241227,2
269.131.1,20241230,2
269.131.1,20241231,2
269.131.1,20250101,2
269.131.1,20250102,2
269.131.1,20250103,2
269.1422.1,20241128,2
269.1422.1,20241225,2
269.1422.1,20241231,2
269.1422.1,20250101,2
269.150.1,20241104,1
269.150.1,20241202,1
269.150.1,20241209,1
269.150.1,20241216,1
269.150.1,20241126,2
269.150.1,20241127,2
269.150.1,20241128,2
269.150.1,20241129,2
269.150.1,20241224,2
269.150.1,20241225,2
269.150.1,20241226,2
269.150.1,20241227,2
269.150.1,20241231,2
269.150.1,20250101,2
269.150.1,20250102,2
269.150.1,20250103,2
269.152.1,20241216,1
269.152.1,20241127,2
269.152.1,20241129,2
269.152.1,20241218,2
269.152.1,20241220,2
269.152.1,20241225,2
269.152.1,20241227,2
269.152.1,20250101,2
269.152.1,20250103,2
269.1545.1,20241111,2
269.1545.1,20241126,2
269.1545.1,20241128,2
269.1545.1,20241217,2
269.1545.1,20241219,2
269.1545.1,20241223,2
269.1545.1,20241224,2
269.1545.1,20241226,2
269.1545.1,20241230,2
269.1545.1,20241231,2
269.1545.1,20250102,2
269.155.1,20241127,2
269.155.1,20241129,2
269.155.1,20241218,2
269.155.1,20241220,2
269.155.1,20241225,2
269.155.1,20241227,2
269.155.1,20250101,2
269.155.1,20250103,2
269.155.1,20250108,2
269.1566.1,20241104,1
269.1566.1,20241202,1
269.1566.1,20241209,1
269.1566.1,20241216,1
269.1566.1,20241126,2
269.1566.1,20241127,2
269.1566.1,20241128,2
269.1566.1,20241129,2
269.1566.1,20241224,2
269.1566.1,20241225,2
269.1566.1,20241226,2
269.1566.1,20241227,2
269.1566.1,20241231,2
269.1566.1,20250101,2
269.1566.1,20250102,2
269.1566.1,20250103,2
269.1567.1,20241111,2
269.1567.1,20241128,2
269.157.1,20241216,1
269.157.1,20241127,2
269.157.1,20241129,2
269.157.1,20241218,2
269.157.1,20241220,2
269.157.1,20241225,2
269.157.1,20241227,2
269.157.1,20250101,2
269.157.1,20250103,2
269.159.1,20241111,2
269.159.1,20241127,2
269.159.1,20241128,2
269.159.1,20241129,2
269.159.1,20241220,2
269.159.1,20241223,2
269.159.1,20241224,2
269.159.1,20241225,2
269.159.1,20241226,2
269.159.1,20241227,2
269.159.1,20241230,2
269.159.1,20241231,2
269.159.1,20250101,2
269.159.1,20250102,2
269.159.1,20250103,2
269.160.1,20241111,1
269.160.1,20241127,1
269.160.1,20241223,1
269.160.1,20241224,1
269.160.1,20241226,1
269.160.1,20241230,1
269.160.1,20241231,1
269.160.1,20250102,1
269.160.1,20241115,2
269.160.1,20241122,2
269.160.1,20241206,2
269.160.1,20241213,2
269.161.1,20241101,2
269.161.1,20241127,2
269.161.1,20241129,2
269.161.1,20241218,2
269.161.1,20241220,2
269.161.1,20241225,2
269.161.1,20241227,2
269.161.1,20250101,2
269.161.1,20250103,2
269.161.1,20250108,2
269.1657.1,20241216,2
269.1657.1,20241219,2
269.1657.1,20241223,2
269.1657.1,20241226,2
269.171.1,20241111,2
269.171.1,20241127,2
269.171.1,20241128,2
269.171.1,20241129,2
269.171.1,20241220,2
269.171.1,20241223,2
269.171.1,20241224,2
269.171.1,20241225,2
269.171.1,20241226,2
269.171.1,20241227,2
269.171.1,20241230,2
269.171.1,20241231,2
269.171.1,20250101,2
269.171.1,20250102,2
269.171.1,20250103,2
269.173.1,20241111,2
269.173.1,20241126,2
269.173.1,20241128,2
269.173.1,20241217,2
269.173.1,20241219,2
269.173.1,20241223,2
269.173.1,20241224,2
269.173.1,20241226,2
269.173.1,20241230,2
269.173.1,20241231,2
269.173.1,20250102,2
269.176.1,20241111,2
269.176.1,20241125,2
269.176.1,20241223,2
269.176.1,20241230,2
269.177.1,20241111,1
269.177.1,20241125,1
269.177.1,20241223,1
269.177.1,20241230,1
269.177.1,20241128,2
269.177.1,20241225,2
269.177.1,20250101,2
269.178.1,20241111,2
269.178.1,20241127,2
269.178.1,20241128,2
269.178.1,20241129,2
269.178.1,20241220,2
269.178.1,20241223,2
269.178.1,20241224,2
269.178.1,20241225,2
269.178.1,20241226,2
269.178.1,20241227,2
269.178.1,20241230,2
269.178.1,20241231,2
269.178.1,20250101,2
269.178.1,20250102,2
269.178.1,20250103,2
269.179.1,20241111,1
269.179.1,20241127,1
269.179.1,20241223,1
269.179.1,20241224,1
269.179.1,20241226,1
269.179.1,20241230,1
269.179.1,20241231,1
269.179.1,20250102,1
269.179.1,20241115,2
269.179.1,20241122,2
269.179.1,20241206,2
269.179.1,20241213,2
269.180.1,20241126,1
269.180.1,20241127,2
269.180.1,20241129,2
269.180.1,20241218,2
269.180.1,20241220,2
269.180.1,20241225,2
269.180.1,20241227,2
269.180.1,20250101,2
269.180.1,20250103,2
269.181.1,20241127,1
269.181.1,20241129,1
269.181.1,20241218,1
269.181.1,20241220,1
269.181.1,20241227,1
269.181.1,20250103,1
269.181.1,20241126,2
269.181.1,20241128,2
269.182.1,20250108,1
269.182.1,20241031,2
