route_id,category,running_way,subcategory
Blue,3,1,301
Green,3,1,301
Ornge,3,1,301
500,3,5,301
522,3,3,301
523,3,4,301
568,3,5,301
20,4,5,401
21,4,5,401
22,3,5,301
23,3,5,301
25,3,5,301
26,3,5,301
27,4,5,401
31,4,5,401
37,4,5,401
39,4,5,401
40,4,5,401
42,4,5,401
44,4,5,401
47,4,5,401
51,4,5,401
52,4,5,401
53,4,5,401
55,4,5,401
56,4,5,401
57,3,5,301
59,4,5,401
60,3,5,301
61,3,5,301
64A,3,5,301
64B,3,5,301
66,3,5,301
68,3,5,301
70,3,5,301
71,3,5,301
72,3,5,301
73,3,5,301
77,3,5,301
83,4,5,401
84,4,5,401
85,4,5,401
86,4,5,401
87,4,5,402
89,4,5,401
SCVMC,5,5,501
101,3,2,302
102,3,2,302
103,3,2,302
104,3,2,302
121,3,2,302
200,3,5,303
201,3,5,303
202,3,5,303
203,3,5,303
246,4,5,402
247,4,5,402
255,4,5,402
256,4,5,402
270,4,5,402
287,4,5,402
288,4,5,402
288L,4,5,402
288M,4,5,402
822,5,5,501
823,5,5,501
824,5,5,501
825,5,5,501
826,5,5,501
827,5,5,501
828,5,5,501
831,5,5,501
911,4,1,402
912,4,1,402
913,4,1,402
914,4,1,402
